id,domain,category,intent,language,question,answer,keywords,route,priority
C001,website,account,register,my,account ဘယ်လိုဖွင့်ရမလဲ,Account ဖွင့်ဖို့ Register (`/register`) ကိုသွားပါ။ အမည်၊ email နဲ့ လိုအပ်တဲ့အချက်အလက်တွေကို မှန်ကန်စွာဖြည့်ပြီး account ဖန်တီးပါ။ ပြီးရင် Login (`/login`) ဝင်ပြီး Customer Dashboard ကိုသုံးနိုင်ပါတယ်။,account acc အကောင့် အကောင့် ဖွင့် ဖွင့် register signup create account,/register,100
C002,website,account,register,en,How do I create an account?,"Open the Register page (`/register`), enter accurate identity and contact details, submit the form, then sign in from `/login` to use the Customer Dashboard.",create account register signup open account,/register,100
C003,website,account,forgot_password,my,password မေ့သွားရင်ဘာလုပ်ရမလဲ,"Login စာမျက်နှာ (`/login`) မှာ Forgot Password / Reset Password option ရှိရင် အဲဒီကနေ reset လုပ်ပါ။ မရှိသေးရင် Contact (`/contact`) ကနေ support ကိုဆက်သွယ်ပါ။ Password, OTP နဲ့ full card details ကို chat ထဲမပို့ပါနဲ့။",password မေ့ forgot reset password စကားဝှက်,/login,100
C004,website,account,forgot_password,en,I forgot my password. What should I do?,"Go to `/login` and use the Forgot Password or Reset Password option if available. If the portal does not provide self-service reset, contact support through `/contact`. Never send your password or OTP in chat.",forgot password reset password login,/login,100
C005,website,account,login,my,login ဘယ်လိုဝင်ရမလဲ,Login (`/login`) ကိုသွားပြီး သင် register လုပ်ထားတဲ့ email/username နဲ့ password ကိုထည့်ပါ။ Login မဝင်နိုင်ရင် credentials စစ်ပြီး password reset option ကိုသုံးပါ။,login log in sign in ဝင်,/login,100
C006,website,claim,submit_claim,my,claim ဘယ်လိုတင်ရမလဲ,Login ဝင်ပြီး Dashboard → Claims → Submit Claim ကိုသွားပါ။ Active/approved policy ကိုရွေး၊ ဖြစ်ရပ်အချက်အလက်နဲ့ supporting documents ထည့်ပြီး Submit လုပ်ပါ။ ပြီးရင် Claims စာမျက်နှာကနေ status ကိုစစ်နိုင်ပါတယ်။,claim submit claim တင် လျော်ကြေး,/customer/claims,100
C007,website,claim,submit_claim,en,How do I submit a claim?,"Sign in, open Dashboard → Claims → Submit Claim, choose an active/approved policy, enter the incident details, attach the required supporting documents, and submit. Track the status from the Claims page.",claim submit claim make claim file claim,/customer/claims,100
C008,website,application,customer_apply,my,အာမခံ plan ဘယ်လိုလျှောက်ရမလဲ,Plans (`/plans`) မှာ plan ကိုရွေးပါ။ Login ဝင်ပြီး Dashboard → Apply ကနေ လျှောက်လွှာဖြည့်၊ လိုအပ်တဲ့ documents ထည့်ပြီး Submit လုပ်ပါ။ Applications မှာ status ကိုစစ်နိုင်ပါတယ်။,apply application လျှောက် plan policy,/plans,100
C009,website,plans,plans,my,insurance plan တွေဘယ်မှာကြည့်ရမလဲ,"Insurance plans တွေကို Plans (`/plans`) စာမျက်နှာမှာကြည့်နိုင်ပါတယ်။ Coverage, premium/payment frequency နဲ့ plan details တွေကိုနှိုင်းယှဉ်ပြီးရွေးနိုင်ပါတယ်။",plans package insurance type ဘယ်မှာ,/plans,100
C010,website,contact,contact,my,support ကိုဘယ်လိုဆက်သွယ်ရမလဲ,လူနဲ့တိုက်ရိုက်ဆက်သွယ်ချင်ရင် Contact (`/contact`) စာမျက်နှာကိုသွားပါ။,contact support ဆက်သွယ်,/contact,100
